# Reconstruction of anomalies of the Last Glacial Maximum (ca 21000 years ago) made by combining pollen based reconstructions and average PMIP3 outputs under a variational data assimilation technique.,,,,,,,,,,,,,
# ,,,,,,,,,,,,,
# Variables are given as:,,,,,,,,,,,,,
# ,,,,,,,,,,,,,
# lat - grid cell centre latitude,,,,,,,,,,,,,
# lon - grid cell centre longitude,,,,,,,,,,,,,
# MI - moisture index,,,,,,,,,,,,,
# MAP - mean annual precipitation (mm),,,,,,,,,,,,,
# MAT - mean annual temperature (degrees C),,,,,,,,,,,,,
# MTCO - mean temperature of the coldest month (degrees C),,,,,,,,,,,,,
# MTWA - mean temperature of the warmest month (degrees C),,,,,,,,,,,,,
# GDD5 - growing degree days above 5 degrees C (days degrees C),,,,,,,,,,,,,
# MI SD - moisture index standard deviation,,,,,,,,,,,,,
# MAP SD - mean annual precipitation standard deviation (mm),,,,,,,,,,,,,
# MAT SD - mean annual temperature standard deviation (degrees C),,,,,,,,,,,,,
# MTCO SD - mean temperature of the coldest month standard deviation (degrees C),,,,,,,,,,,,,
# MTWA SD - mean temperature of the warmest month standard deviation (degrees C),,,,,,,,,,,,,
# GDD5 SD - growing degree days above 5 degrees C standard deviation (days degrees C).,,,,,,,,,,,,,
# ,,,,,,,,,,,,,
# NaN values represent situations where a reconstruction isn't given.,,,,,,,,,,,,,
# ,,,,,,,,,,,,,
 lat, lon, MI, MAP, MAT, MTCO, MTWA, GDD5, MI SD, MAP SD, MAT_SD, MTCO SD, MTWA SD, GDD5 SD
27,-105,  nan,329.612,-5.940982,-6.31737,-6.0261,-2126.88,  nan,97.1608,0.937267,1.00717,1.31943,293.561
29,-105,0.363499,389.844,-7.005208,-7.85106,-6.723,-2343.86,0.065587,78.3273,0.842525,0.904215,1.17641,247.698
31,-105,0.448069,422.399,-8.234336,-9.73954,-7.817,-2338.17,0.061367,67.3955,0.802148,0.874972,1.14207,199.645
33,-105,0.554018,469.424,-8.699472,-10.27296,-8.2543,-2088.38,0.067844,66.4292,0.774102,0.759523,1.13046,195.544
35,-105,0.564206,453.428,-8.012056,-9.70126,-7.022,-1707.51,0.077585,72.2445,0.829469,0.823012,1.17436,183.658
37,-105,0.510446,371.335,-6.163638,-7.52617,-4.4912,-1050.22,0.101193,89.2795,1.00696,1.06256,1.34353,213.588
43,-105,  nan,-92.061,-5.473406,-9.7464,-1.0647,  nan,  nan,81.0314,1.92849,1.85165,2.64085,  nan
19,-103,-0.030553,-81.711,-3.467933,-4.3732,-3.1447,-1265.79,0.099904,156.818,1.05586,1.23285,1.31807,385.39
21,-103,0.144807,124.841,-4.382967,-5.1229,-4.1919,-1599.8,0.141269,196.93,1.22099,1.40759,1.63649,445.661
23,-103,  nan,284.699,-4.664324,-5.18218,-4.6178,-1690.63,  nan,155.599,1.22548,1.40768,1.64902,411.903
25,-103,  nan,262.034,-4.874697,-5.48782,-4.8951,-1779.28,  nan,100.944,1.05436,1.2733,1.35732,384.841
27,-103,  nan,246.228,-5.52433,-7.03009,-4.731,-1984.46,  nan,89.5434,0.886862,1.03759,1.20529,299.828
29,-103,0.309644,304.307,-6.561192,-8.77846,-5.2559,-2175.1,0.064726,74.7729,0.804298,0.949176,1.1623,235.529
31,-103,0.404494,375.234,-7.881545,-10.51434,-6.4127,-2292.8,0.067264,73.0443,0.841202,0.923786,1.21697,248.397
33,-103,0.524833,405.835,-8.757518,-11.63844,-7.1325,-2033.48,0.073795,70.8109,0.905467,0.884485,1.31052,228.449
35,-103,0.54416,378.26,-8.673376,-11.65774,-6.707,-1728.93,0.082295,72.8741,0.960348,0.927341,1.35594,215.921
37,-103,0.424361,267.727,-7.831259,-10.8296,-5.3941,-1365.52,0.094818,80.4675,1.05928,1.03298,1.40786,230.259
39,-103,0.259206,109.975,-7.160236,-10.7379,-3.9252,-994.98,0.093593,80.6417,1.20267,1.15144,1.59669,261.191
41,-103,0.070417,-44.748,-7.029705,-11.2293,-2.8941,-828.65,0.079623,77.7342,1.52822,1.45428,2.03825,285.769
43,-103,-0.060262,-127.437,-7.64234,-12.6952,-2.9532,  nan,0.055664,72.0773,2.01891,1.86643,2.73019,  nan
19,-101,0.008692,-42.88,-3.796342,-4.6783,-3.4675,-1385.66,0.095631,142.318,1.17061,1.30921,1.51937,427.271
21,-101,0.139921,130.961,-4.584153,-5.26899,-4.6237,-1673.21,0.102882,140.996,1.37177,1.58771,1.84534,500.697
23,-101,  nan,246.86,-4.600325,-5.18288,-4.4957,-1679.13,  nan,150.022,1.2381,1.53299,1.62051,451.907
25,-101,0.255062,237.086,-4.675433,-6.14718,-3.8936,-1706.53,0.094814,109.189,1.01961,1.30413,1.29391,372.157
27,-101,  nan,195.803,-5.380475,-8.69025,-3.3047,-1914.58,  nan,87.5803,0.807045,1.14522,1.15293,270.245
29,-101,0.303687,248.913,-6.211984,-10.079753,-3.6086,-2006.6,0.070297,77.9843,0.638748,0.949325,1.04593,188.442
31,-101,0.438542,342.89,-7.677952,-11.7253,-4.97,-2012.26,0.076322,78.5689,0.789713,0.985124,1.1469,195.838
33,-101,0.49335,355.953,-9.131838,-13.34669,-6.2646,-2117.73,0.078192,75.7823,0.989489,1.09102,1.33218,239.824
35,-101,0.538614,318.427,-9.783961,-14.0173,-6.6759,-1884.16,0.089842,76.311,1.11548,1.17368,1.48116,267.131
37,-101,0.409429,191.126,-9.722347,-14.0445,-6.1817,-1641.92,0.08521,67.5139,1.13048,1.14676,1.45017,241.13
39,-101,0.266528,52.634,-9.45408,-13.9776,-5.4836,-1318.32,0.085457,61.4341,1.18286,1.16541,1.49434,215.294
41,-101,0.100493,-62.668,-9.449883,-14.1396,-5.0796,-1117.41,0.069865,57.5628,1.52353,1.43721,1.99496,284.992
43,-101,0.000582,-116.691,-9.801968,-14.8538,-5.2068,  nan,0.068463,62.5905,2.10099,1.85185,2.90152,  nan
