lat, lon, mat_anm_mean, mat_se_mean, mat_tstat,mat_sig, mat_sig_val,mat_npts
   41.000000,    -7.000000,         1.4300,         1.1362,         1.2585,         0.0000,         0.0000,     2
   43.000000,    -7.000000,         1.1196,         0.5118,         2.1876,         1.0000,         1.1196,     9
   53.000000,    -7.000000,         0.5511,         0.4872,         1.1312,         0.0000,         0.0000,     9
   55.000000,    -7.000000,         0.7421,         0.5364,         1.3835,         0.0000,         0.0000,     8
   57.000000,    -7.000000,        -0.7800,         1.6069,        -0.4854,         0.0000,         0.0000,     1
   59.000000,    -7.000000,        -0.4933,         0.8139,        -0.6062,         0.0000,         0.0000,     3
   63.000000,    -7.000000,         0.7812,         0.5711,         1.3678,         0.0000,         0.0000,     6
   33.000000,    -5.000000,         1.0200,         1.1362,         0.8977,         0.0000,         0.0000,     2
   43.000000,    -5.000000,         2.4695,         0.7725,         3.1968,         1.0000,         2.4695,     4
   45.000000,    -5.000000,        -2.4855,         1.0836,        -2.2938,        -1.0000,        -2.4855,     2
   51.000000,    -5.000000,         1.0567,         0.8565,         1.2337,         0.0000,         0.0000,     3
   53.000000,    -5.000000,         2.0170,         0.9874,         2.0427,         1.0000,         2.0170,     2
   55.000000,    -5.000000,         1.0920,         0.4952,         2.2052,         1.0000,         1.0920,     9
   57.000000,    -5.000000,         0.2913,         0.4471,         0.6517,         0.0000,         0.0000,    12
   59.000000,    -5.000000,        -0.3097,         0.6171,        -0.5018,         0.0000,         0.0000,     6
   23.000000,    -3.000000,        -1.4000,         0.5867,        -2.3862,        -1.0000,        -1.4000,     1
   31.000000,    -3.000000,         2.4000,         1.8622,         1.2888,         0.0000,         0.0000,     1
   37.000000,    -3.000000,        -5.0990,         0.6954,        -7.3329,        -1.0000,        -5.0990,     5
   41.000000,    -3.000000,        -2.9700,         1.6069,        -1.8483,         0.0000,         0.0000,     1
   43.000000,    -3.000000,         0.7589,         0.5106,         1.4862,         0.0000,         0.0000,    10
   47.000000,    -3.000000,        -0.9915,         1.1008,        -0.9007,         0.0000,         0.0000,     2
   49.000000,    -3.000000,         0.0623,         0.9428,         0.0661,         0.0000,         0.0000,     3
   51.000000,    -3.000000,         1.5165,         0.6800,         2.2302,         1.0000,         1.5165,     4
   53.000000,    -3.000000,         1.4627,         0.5422,         2.6976,         1.0000,         1.4627,     7
   55.000000,    -3.000000,         2.1677,         0.5144,         4.2140,         1.0000,         2.1677,     8
   57.000000,    -3.000000,         0.5522,         0.5079,         1.0872,         0.0000,         0.0000,     9
   59.000000,    -3.000000,         1.4955,         0.7305,         2.0472,         1.0000,         1.4955,     4
    7.000000,    -1.000000,        -0.3000,         2.3214,        -0.1292,         0.0000,         0.0000,     1
   37.000000,    -1.000000,        -5.0100,         1.6069,        -3.1178,        -1.0000,        -5.0100,     1
