,lat,lon,anom,err
456,10.7,-65.9417,1.600496378,2.1
75,53.9,-66.77,1.63175,2.1
550,58.55,11.6,1.6489,2.1
69,31.56,117.39,1.663517349,2.1
87,54.7,18.17,1.669880952,2.1
473,-51.96,-70.38,1.689547619,1.5
581,33.3792,101.1035,1.69398841,2.1
276,48.44,-0.19,1.713333335,2.1
328,-36.73,136.55,1.722345812,1.7
235,56.2333,-27.65,1.757779084,2.1
213,46.72,8.07,1.779734693,2.1
192,-36.9225,177.4392,1.79,1.4
418,47.98,-93.39,1.792333333,2.1
293,43.73,40.69,1.809285712,2.1
302,37.036,13.19,1.813333333,1.7
564,59.82,6,1.832821429,2.1
228,-53.013,-58.0405,1.865681335,1.7
528,56.58,32.92,1.867666667,2.1
222,66.14,-66.08,1.880269841,2.1
92,43.48,-85,1.91055,2.1
117,58.55,13.67,1.936318182,2.1
374,66.6413,-20.8632,1.983962833,1.9
11,46.6814,7.9775,2.007099545,2.1
518,47.27,-2.02,2.010642859,2.1
371,66.2295,-23.2655,2.02109072,1.7
266,65.22,-126.12,2.07,2.1
65,45.92,-120.88,2.090333333,2.1
331,2.5019,9.3947,2.133602462,1.9
423,61.8,24.7,2.179028788,2.1
82,38.6345,-9.4542,2.179820403,1.7
43,65.02,-127.48,2.213216667,2.1
54,47,11.14,2.225267856,2.1
470,47.08,-64.8,2.260556548,2.1
220,57.838,8.704,2.290789528,1.7
249,58.38,22.2,2.356843537,2.1
20,64.65,-128.08,2.3599,2.1
123,55.26,-26.725,2.365209076,2.1
79,44.84,-99.91,2.3946,2.1
197,42.9783,-55.2483,2.410396323,2.1
181,59.83,16.53,2.493688889,2.1
180,48.43,8.25,2.497556819,2.1
16,46.45,8.52,2.522612246,2.1
488,58.6,26.67,2.522928571,2.1
98,46.64,11.46,2.545714286,2.1
251,49.82,-102.3,2.6508,2.1
127,-32.75,-72.0333,2.684624283,1.5
529,46.97,-94.68,2.701746032,2.1
114,46.31,7.48,2.707056278,2.1
586,61.8211,16.4044,2.72565,2.1
233,26.374,-92.027,2.792313572,2.1
21,60.58,24.8,2.82675,2.1
85,31.4667,110,2.828666667,1.5
332,2.5019,9.3947,2.85150953,2.1
487,58.58,26.65,2.878111111,2.1
583,62.13,22.87,2.936809524,2.1
247,57.63,14.53,3.051726191,2.1
415,47,11.76,3.054285715,2.1
53,47.93,8.07,3.076875,2.1
400,36.3806,-115.1879,3.079610405,2.1
36,73.53,-120.22,3.1201875,2.1
161,2.5,9.384,3.121204945,2.1
70,44.15,7.24,3.126761904,2.1
443,44.16,10.78,3.133214285,2.1
263,52.25,-67.07,3.15025,2.1
427,47.62,8.82,3.200357143,2.1
430,43.4833,-54.8664,3.291360414,1.7
186,46.2,7.85,3.345857142,2.1
279,52.56,17.39,3.420690476,2.1
580,53.75,20.2,3.477559522,2.1
184,52.58,19.35,3.616357623,2.1
535,52.54,17.6,3.616818183,2.1
278,52.56,17.39,3.657217261,2.1
57,30.5619,91.1778,3.734745,2.9
126,56.1633,-31.99,3.844631872,2.1
546,49.7,21.62,3.860714285,2.1
493,59.17,24.43,3.8845,2.1
431,43.8853,-62.7953,4.244019137,1.7
183,46.21,8.11,4.250410715,2.1
177,52.32,17.36,4.345214286,2.1
523,52.55,17.36,4.889126984,2.1
207,42.2167,126.517,5.665708333,2.9
465,51.65,-100.9,7.479722222,2.1
544,12,37.3,7.5075,2.1
264,49.21,-65.81,8.35025,2.1
191,50.77,-55.52,14.34184821,2.1
